id,title,release_date,genres,poster_path,backdrop_path,vote_average,runtime,overview,tagline,original_language
2787,Pitch Black,2000-02-18,"[{'name': 'Thriller'}, {'name': 'Science Fiction'}, {'name': 'Action'}]",/pPx96WRzwZ28kHeO08bvPU5pFS4.jpg,/bMJdVmo6QqoUHpUsjWyei6MN02x.jpg,6.9,110,"Statek kosmiczny na pokładzie którego znajduje się eskortowany do więzienia groźny przestępca, rozbija się na nieznanej planecie. Z załogi przezywa tylko pilot Carolyn Fry (Radha Mitchell), z pasażerów - kilku podróżnych oraz więzień Riddick (Vin Diesel) i jego stróż Johns (Cole Hauser). Planeta wydaje się niezamieszkała, ale to tylko pozór. Opuszczone, porzucone w pośpiechu zabudowania i tunel wypełniony ludzkimi kośćmi dowodzą czego innego. Zapada noc, która tu trwa ponad 20 lat. Wraz z mrokiem budzą się krwiożerczy drapieżcy. Odpowiedzialna za swych pasażerów Carolyn musi podjąć decyzję, komu zaufać - nierozważnemu stróżowi prawa, czy jego podopiecznemu, na wpół oślepionemu, lecz znakomicie widzącemu w ciemnościach Riddickowi.","Jest nowy powód, aby bać się ciemności.",en
10974,Armour of God,1986-08-16,"[{'name': 'Adventure'}, {'name': 'Action'}, {'name': 'Comedy'}]",/ng23MjCW4llyCK2kg6Fu7PLCzAg.jpg,/yDU9lUG7IHFFLkxlLEvJtxOmW4P.jpg,7.0,97,"Najlepszy film przygodowy z udziałem Jackie Chana kręcony na Bałkanach. Historia awanturnika, poszukiwacza przygód oraz reliktów starych kultur. Bohater filmu po odnalezieniu miecza Boga, udaje się na kolejną wyprawę, aby odnaleźć zbroję. Wszystkie trudne sceny, kręcone były bez pomocy kaskaderów. W trakcie kręcenia jednej z niebezpiecznych scen aktor uległ nieomal śmiertelnemu wypadkowi.  [opis dystrybutora dvd]",,cn
944864,The Takeover,2022-11-01,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Thriller'}]",/oXnTk0sa0Aox2wuKODqXNnekGWJ.jpg,/cvOHMfZTxIiNI9yyjYgYfCpT48p.jpg,5.7,87,"Gdy etyczna hakerka Mel Bandison udaremnia wyciek danych z ultranowoczesnego, autonomicznego autobusu, przypadkowo neutralizuje międzynarodową siatkę przestępczą. Jej życie zostaje nagle wywrócone do góry nogami, gdy zostaje wrobiona w morderstwo, którego nie popełniła. Ścigana przez przestępców i Interopol Mel ucieka przez miasto, w którym na każdym rogu zainstalowana jest kamera. Ukrywa się z pomocą Thomasa Deena, z którym spotkała się raz na randce w ciemno i który przypadkowo zostaje wciągnięty w pościg. Chcąc udowodnić swoją niewinność, Mel poszukuje dawnego mentora Buddy’ego Benschopa.",,nl
10975,Operation Condor,1991-02-07,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Crime'}, {'name': 'Thriller'}]",/gYuUaN2UmMksW8sWvyhcWvVikpH.jpg,/leHpAsKAJGnNuv5EPAUZUbqrRxq.jpg,7.3,107,"Jackie to poszukiwacz przygód. Oto dostaje kolejne zadanie od Barona Scappisa. Według jego opowieści pod koniec II wojny światowej niemiecki nazistowski rząd postanowił ukryć złoto, które zrabowali podczas wojny w Europie. Ukryli je w tajnej fortecy na Saharze. Stany Zjednoczone chcą odzyskać te łupy wojenne i przeznaczyć je na cele dobroczynne. Jackie ma zlokalizować i odzyskać skarb...",Pustynia kryje wiele tajemnic i niebezpieczeństw.,cn
330459,Rogue One: A Star Wars Story,2016-12-14,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Science Fiction'}]",/q1CxmobHDVimr7IYlbZYQ6PUge1.jpg,/6t8ES1d12OzWyCGxBeDYLHoaDrT.jpg,7.5,133,"Grupa rebeliantów podejmuje się misji niemożliwej, próbując wykraść plany budowy Gwiazdy Śmierci, najpotężniejszej broni Imperium. Ten kluczowy dla całego uniwersum Gwiezdnych wojen moment rozpoczyna serię zdarzeń, w których zwykli ludzie dokonują niezwykłych czynów i stają się bohaterami.",Bunt zbudowany na nadziei.,en
19173,Diary of a Nymphomaniac,2008-10-17,"[{'name': 'Drama'}, {'name': 'Romance'}]",/v6tERTerbKk6ACDtL7zxI1yZBk8.jpg,/s7MXg9Srra1aptzaTkvtnHVYSF8.jpg,5.7,102,"Val, już jako nastolatka, przeżywa pierwsze doświadczenia seksualne i bardzo szybko odkrywa, że seks uzależnia ją jak narkotyk. Determinacja w poszukiwaniu zmysłowych doznań z przypadkowymi partnerami rośnie z upływem czasu i sprawia, że Val rezygnuje z ambitnej pracy, aby zostać… prostytutką. Jednocześnie cały czas poszukuje prawdziwej miłości, nie wiedząc, co to słowo tak naprawdę znaczy. Czy w świecie płatnego seksu można odnaleźć miłość swego życia?",,es
19186,The Parent Trap,1961-05-13,"[{'name': 'Comedy'}, {'name': 'Family'}, {'name': 'Romance'}]",/jaZFWy6ZAvQoMW2mo9xP5gx4URo.jpg,/wl7imDwEkYt1HnlsdEcUDXuxnRw.jpg,7.0,129,"Identyczne nastolatki Sharon i Susan spotykają się na letniej kolonii. Dziewczynki nigdy się nie widziały i nie pałają do siebie sympatią. Gdy po kolejnej kłótni, zostają za karę umieszczone w jednym pokoju, zaczynają rozmawiać i odkrywają, że są siostrami bliźniaczkami, którymi rodzice ""podzielili się"" po rozwodzie. Postanawiają zamienić się rolami, by poznać drugiego z rodziców, a z czasem być może doprowadzić do ich pogodzenia.",,en
68335,Now & Later,2009-02-18,[{'name': 'Drama'}],/1jzfAMLbTfHaGiNn6hGKty0OzDq.jpg,/g80CiHfus4JbLRQtRp0x3UzUToN.jpg,5.0,99,,,en
10982,Hoodwinked!,2005-12-16,"[{'name': 'Animation'}, {'name': 'Comedy'}, {'name': 'Crime'}, {'name': 'Family'}, {'name': 'Mystery'}]",/d2t8Pj5xEOJfyCemOrJk5szYkwl.jpg,/97i5zrV5Kmhi3NYJ7PzcfHmMNx8.jpg,6.3,80,"Wszystkim się wydaje, że doskonale znają bajkę o Czerwonym Kapturku. Ale czy znamy prawdziwą wersję tej bajki? A może przez całe dzieciństwo byliśmy wprowadzani w błąd. Nawet w znanej wszystkim historii tkwią detale, których nie dostrzeże się na pierwszy rzut oka. W tym przypadku, zaczynamy opowieść od końca. Futrzany glina ze zwierzęcego świata prowadzi dochodzenie w sprawie zakłócenia porządku w chatce babci. Uczestnikami zdarzenia są czerwony kapturek, wilk i drwal z siekierą. Zarzuty są poważne: zakłócenie spokoju, zamiar zjedzenia babci oraz posiadanie siekiery bez pozwolenia. Wkrótce poznamy wersję dramatycznych wydarzeń w domku babci opowiedzianą przez wilka, kapturka, babcię i drwala. Okaże się, że każdy ma jakiś sekret.. wilk jako reporter szukający sensacji, babcia prowadząca podwójne życie, drwal marzący o karierze aktorskiej... Tej film obnaży prawdę o Czerwonym Kapturku.",Wkrótce prawda wyjdzie na jaw!,en
10995,The Lover,1992-01-22,"[{'name': 'Drama'}, {'name': 'Romance'}]",/luUC1EnJtU2cpgNbHBQexaaAa7J.jpg,/mygq3cQkS4v1MoLxo22KABiK90l.jpg,7.0,115,"Ekranizacja autobiograficznej powieści Marguerite Duras, opowiadająca o niezwykłej miłości łączącej piętnastoletnią Francuzkę i trzydziestoletniego Chińczyka. Wietnam, 1929 rok. Dziewczyna pochodzi ze zrujnowanej i zdemoralizowanej rodziny białych kolonistów. Na promie płynącym przez rzekę Mekong, w drodze do szkoły z internatem, swoim wyzywającym sposobem bycia i zaskakującym ubiorem zwraca uwagę dwa razy starszego od siebie, zamożnego, eleganckiego i przystojnego Chińczyka.",,fr
10992,Cats & Dogs,2001-07-04,"[{'name': 'Family'}, {'name': 'Comedy'}, {'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Fantasy'}]",/76jMBZ5BEo04D7L87p1gE7vWbQx.jpg,/3ipuPBeBfsxcsry7Gh5m9J1rwJ1.jpg,5.4,87,"Od zawsze, odkąd pamiętamy między rodem psim a kocią bracią panowała wojna. Przez stulecia zwierzaki próbowały pokonać się nawzajem i wyeliminować... My, ludzie, wiemy że między naszymi pupilami zgody nie ma, ale nie przypuszczamy na jak zaawansowanym technicznie stoi ta wojna... Koci dowódcy planują zniszczenie szczepionki na alergię na psią sierść. Psy z kolei próbują je zatrzymać. Obiektem ataków kocich zastępów okazuje się profesor Brody, który pracuje nad wynalezieniem szczepionki...",,en
